mes,id_colaborador,funcao,tipo_meta,valor_meta
2026-03,GES01,Gestor,valor_vendido_anual_time,411000
2026-03,SDR01,SDR,reunioes_realizadas,80
2026-03,SDR02,SDR,reunioes_realizadas,80
2026-03,SDR03,SDR,reunioes_realizadas,80
2026-03,SDR04,SDR,reunioes_realizadas,65
2026-03,SDR05,SDR,reunioes_realizadas,65
2026-03,SDR06,SDR,reunioes_realizadas,65
2026-03,SDR07,SDR,reunioes_realizadas,50
2026-03,SDR08,SDR,reunioes_realizadas,50
2026-03,SDR09,SDR,reunioes_realizadas,50
2026-03,CLO01,Closer,valor_vendido_anual,40000
2026-03,CLO02,Closer,valor_vendido_anual,40000
2026-03,CLO03,Closer,valor_vendido_anual,28000
2026-03,CLO04,Closer,valor_vendido_anual,18000
2026-03,CLO05,Closer,valor_vendido_anual,32000
2026-03,CLO06,Closer,valor_vendido_anual,32000
2026-03,CLO07,Closer,valor_vendido_anual,32000
2026-03,CLO08,Closer,valor_vendido_anual,32000
2026-03,CLO09,Closer,valor_vendido_anual,21000
2026-03,CLO10,Closer,valor_vendido_anual,21000
2026-03,CLO11,Closer,valor_vendido_anual,21000
2026-03,CLO12,Closer,valor_vendido_anual,21000
2026-03,CLO13,Closer,valor_vendido_anual,21000
2026-03,CLO14,Closer,valor_vendido_anual,13000
2026-03,CLO15,Closer,valor_vendido_anual,13000
2026-03,CLO16,Closer,valor_vendido_anual,13000
2026-03,CLO17,Closer,valor_vendido_anual,13000
2026-03,REC01,Recuperador,contratos_recuperados,3
2026-03,REC02,Recuperador,contratos_recuperados,3
2026-03,REC03,Recuperador,contratos_recuperados,3
2026-04,GES01,Gestor,valor_vendido_anual_time,411000
2026-04,SDR01,SDR,reunioes_realizadas,80
2026-04,SDR02,SDR,reunioes_realizadas,80
2026-04,SDR03,SDR,reunioes_realizadas,80
2026-04,SDR04,SDR,reunioes_realizadas,65
2026-04,SDR05,SDR,reunioes_realizadas,65
2026-04,SDR06,SDR,reunioes_realizadas,65
2026-04,SDR07,SDR,reunioes_realizadas,50
2026-04,SDR08,SDR,reunioes_realizadas,50
2026-04,SDR09,SDR,reunioes_realizadas,50
2026-04,CLO01,Closer,valor_vendido_anual,40000
2026-04,CLO02,Closer,valor_vendido_anual,40000
2026-04,CLO03,Closer,valor_vendido_anual,28000
2026-04,CLO04,Closer,valor_vendido_anual,18000
2026-04,CLO05,Closer,valor_vendido_anual,32000
2026-04,CLO06,Closer,valor_vendido_anual,32000
2026-04,CLO07,Closer,valor_vendido_anual,32000
2026-04,CLO08,Closer,valor_vendido_anual,32000
2026-04,CLO09,Closer,valor_vendido_anual,21000
2026-04,CLO10,Closer,valor_vendido_anual,21000
2026-04,CLO11,Closer,valor_vendido_anual,21000
2026-04,CLO12,Closer,valor_vendido_anual,21000
2026-04,CLO13,Closer,valor_vendido_anual,21000
2026-04,CLO14,Closer,valor_vendido_anual,13000
2026-04,CLO15,Closer,valor_vendido_anual,13000
2026-04,CLO16,Closer,valor_vendido_anual,13000
2026-04,CLO17,Closer,valor_vendido_anual,13000
2026-04,REC01,Recuperador,contratos_recuperados,3
2026-04,REC02,Recuperador,contratos_recuperados,3
2026-04,REC03,Recuperador,contratos_recuperados,3
2026-05,GES01,Gestor,valor_vendido_anual_time,411000
2026-05,SDR01,SDR,reunioes_realizadas,80
2026-05,SDR02,SDR,reunioes_realizadas,80
2026-05,SDR03,SDR,reunioes_realizadas,80
2026-05,SDR04,SDR,reunioes_realizadas,65
2026-05,SDR05,SDR,reunioes_realizadas,65
2026-05,SDR06,SDR,reunioes_realizadas,65
2026-05,SDR07,SDR,reunioes_realizadas,50
2026-05,SDR08,SDR,reunioes_realizadas,50
2026-05,SDR09,SDR,reunioes_realizadas,50
2026-05,CLO01,Closer,valor_vendido_anual,40000
2026-05,CLO02,Closer,valor_vendido_anual,40000
2026-05,CLO03,Closer,valor_vendido_anual,28000
2026-05,CLO04,Closer,valor_vendido_anual,18000
2026-05,CLO05,Closer,valor_vendido_anual,32000
2026-05,CLO06,Closer,valor_vendido_anual,32000
2026-05,CLO07,Closer,valor_vendido_anual,32000
2026-05,CLO08,Closer,valor_vendido_anual,32000
2026-05,CLO09,Closer,valor_vendido_anual,21000
2026-05,CLO10,Closer,valor_vendido_anual,21000
2026-05,CLO11,Closer,valor_vendido_anual,21000
2026-05,CLO12,Closer,valor_vendido_anual,21000
2026-05,CLO13,Closer,valor_vendido_anual,21000
2026-05,CLO14,Closer,valor_vendido_anual,13000
2026-05,CLO15,Closer,valor_vendido_anual,13000
2026-05,CLO16,Closer,valor_vendido_anual,13000
2026-05,CLO17,Closer,valor_vendido_anual,13000
2026-05,REC01,Recuperador,contratos_recuperados,3
2026-05,REC02,Recuperador,contratos_recuperados,3
2026-05,REC03,Recuperador,contratos_recuperados,3
2026-06,GES01,Gestor,valor_vendido_anual_time,411000
2026-06,SDR01,SDR,reunioes_realizadas,80
2026-06,SDR02,SDR,reunioes_realizadas,80
2026-06,SDR03,SDR,reunioes_realizadas,80
2026-06,SDR04,SDR,reunioes_realizadas,65
2026-06,SDR05,SDR,reunioes_realizadas,65
2026-06,SDR06,SDR,reunioes_realizadas,65
2026-06,SDR07,SDR,reunioes_realizadas,50
2026-06,SDR08,SDR,reunioes_realizadas,50
2026-06,SDR09,SDR,reunioes_realizadas,50
2026-06,CLO01,Closer,valor_vendido_anual,40000
2026-06,CLO02,Closer,valor_vendido_anual,40000
2026-06,CLO03,Closer,valor_vendido_anual,28000
2026-06,CLO04,Closer,valor_vendido_anual,18000
